"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SBNO2",53.0577888074964,1.21562256420438,0.265117435785498,4.58522299977252,4.53502147234173e-06,0.000416722051828567
"LTB4R",26.2075497434098,2.04410587719715,0.447546353370063,4.56736126169917,4.93902368074727e-06,0.00045030004964313
"HDAC7",183.552503709654,0.865048970684694,0.190687007166255,4.53648616935123,5.71992387235229e-06,0.000517453578219776
"ARHGAP29",208.660109188394,-0.696799959736901,0.153704722121483,-4.5333672909943,5.80507437818437e-06,0.000521117061487781
"DAB2",56.1065646038456,1.14893207926518,0.253662500127682,4.52937300029315,5.91589806248902e-06,0.000523019169615506
"NMT2",214.066746373758,-0.704067178903753,0.155410145581834,-4.53038105245847,5.88773962580215e-06,0.000523019169615506
"IFNAR1",69.2101877290511,1.05016459025312,0.232063035196736,4.52534195876059,6.02979276045081e-06,0.000529080312138804
"RPL32P3",17.5843739831463,2.52621307157083,0.559806692662634,4.51265250073251,6.40218700666391e-06,0.000557563599759461
"SYNPO",30.4204732642328,1.73532983176469,0.384926527782055,4.50821054543488,6.53766829103347e-06,0.000565145103380449
"ADAR",206.000354686356,0.756694134824537,0.168116956075859,4.50099830788688,6.7635044415265e-06,0.000580368359063341
"PRRT2",13.9157935092779,3.37381401361875,0.750736155276898,4.49400763491185,6.98951205714973e-06,0.000595383983262316
"FBXO33",67.0089310006446,1.28980377943605,0.287415814360718,4.48758806923997,7.20340377731554e-06,0.00060477497900196
"LIMA1",300.970034267637,0.612593444200395,0.136461766888552,4.48912144528144,7.15175178671462e-06,0.00060477497900196
"SMOX",60.8305487453231,-0.962840335122723,0.215414138621384,-4.46971745348168,7.83229939801564e-06,0.000652878099820304
"PRSS23",796.848818255398,-0.52059026935854,0.116576998911905,-4.4656345095308,7.98317962479765e-06,0.000660735505116231
"SLFN11",44.129477513212,1.33815810990134,0.299866807672561,4.46250827254792,8.10058001844578e-06,0.000665730766304664
"DAAM1",80.7387157941873,-0.971468349170988,0.218099087797891,-4.45425223452211,8.41860832380765e-06,0.000683968198832366
"KSR1",16.7131393608013,2.55806281275826,0.57436607416883,4.45371502218347,8.43971042261017e-06,0.000683968198832366
"SNHG3",143.937785646437,0.811312988426955,0.182294039766439,4.45057331258025,8.56413506041038e-06,0.000689265214861994
"NOG",41.3128909449594,-1.28352512084385,0.28918375397924,-4.43844131346325,9.06126831201825e-06,0.000724280830145568
"MBNL2",64.84413025487,1.22152195311944,0.275604125720364,4.4321613471013,9.32931617734656e-06,0.000740633467956697
"AUTS2",73.8057789756023,-1.02013538857228,0.231582853871711,-4.40505577816826,1.05756662105451e-05,0.00082373592295868
"DDX23",117.060050068308,0.774679967448612,0.175761006940499,4.40757583797222,1.04534004291649e-05,0.00082373592295868
"ENAH",190.450950187464,0.879198921545945,0.19959992522026,4.40480586641374,1.05878653336591e-05,0.00082373592295868
"CDC42EP3",62.4712514330944,-0.949366792999346,0.215947461955776,-4.39628595030103,1.10118846869206e-05,0.000851050955605059
