"","baseMean","log2FoldChange","pvalue","padj"
EPHA2,2598.10314037318,0.630384066110306,1.3021839703543e-10,1.10685637480116e-08
KRT80,845.250133281643,0.804529939354913,1.32562940525008e-10,1.11987220308549e-08
ASS1,5551.44638169661,0.56160337670682,1.4853466090835e-10,1.23237370478863e-08
ANTXR1,1386.65468585526,-0.708138322591726,1.49050800342282e-10,1.23237370478863e-08
ZRANB2,1199.92351430325,-0.760172337007609,1.50126318210005e-10,1.23237370478863e-08
EPHX1,3152.63191480366,0.661610121628982,1.50155408825746e-10,1.23237370478863e-08
EIF6,1072.71714141285,0.853392465194823,1.50354961804277e-10,1.23237370478863e-08
CCDC80,5700.11172967905,0.594051113971277,1.52380310539784e-10,1.24158395037445e-08
ZBED5,2115.1517312787,-0.637404819294016,1.56608748488253e-10,1.26853086275485e-08
BUB1,304.677587811456,-1.17062488580847,1.58346110822231e-10,1.2751028924106e-08
NAALADL2,522.902264393247,-0.956752967740876,1.66004406889377e-10,1.32900039701554e-08
CAPN13,1330.93053612267,-0.716425885158991,1.67051394704207e-10,1.32965185264562e-08
SRRT,1222.36877505743,0.738102385330402,1.96780652367402e-10,1.5572813695972e-08
TRIP6,2013.59608140044,0.673470963003061,2.30030999443552e-10,1.81001534990726e-08
PCDH1,2251.44144913802,0.655074727811738,2.3742820224685e-10,1.85760587780632e-08
MAF,1020.16992608835,-0.771920161759094,2.42532855188701e-10,1.88064885544342e-08
TLR5,723.065040987542,-0.827471503404033,2.4310493556204e-10,1.88064885544342e-08
ADRM1,1609.80581719044,0.776827965515895,2.62422212109115e-10,2.01244167205456e-08
BOP1,368.255914044026,1.05814920153613,2.63064270856806e-10,2.01244167205456e-08
GSAP,519.389145145971,-0.91412114971148,2.64846117050552e-10,2.01487902308624e-08
SPG11,3191.24471465624,-0.620023160533008,3.1904676128514e-10,2.41388675983317e-08
EHD1,805.115462507885,0.800283824141744,3.26720999871014e-10,2.45844162198025e-08
SLC4A11,1784.51092922191,0.688176941760863,3.38481347115163e-10,2.53309138574771e-08
ARMC3,1315.63043701906,-0.721521719583388,3.44050388690865e-10,2.56085073095849e-08
S100A14,2955.91011785768,0.670854188244548,3.83923019295239e-10,2.84226880413734e-08
BBOX1,732.471731753951,-0.809576820659762,4.09672429513537e-10,3.01667879914514e-08
LMAN1,2691.343530026,-0.618630862475034,4.26140508456291e-10,3.12043704519999e-08
CCDC17,1032.61799000153,-0.766661603268525,4.28295280713724e-10,3.12043704519999e-08
SECTM1,467.166278417214,1.07545013991737,4.35368062035219e-10,3.15527274432893e-08
CDCA7L,288.104520477981,-1.13167072716719,4.48011740251381e-10,3.22990662997985e-08
PCSK6,290.504522751419,-1.131866474319,4.67621273815099e-10,3.35372132314266e-08
PRDX1,9615.94121037728,0.521900092165816,5.37418984068285e-10,3.83433130083953e-08
DPY19L2P2,137.633868049445,-1.56474779478505,5.5933708387971e-10,3.97014002320804e-08
TTC9,2410.0115846714,0.601773642733845,6.28578797114843e-10,4.43873335193405e-08
FBL,886.848857866103,0.742252408430017,6.48582698407305e-10,4.55662436585132e-08
SPTAN1,6885.47348649487,0.541360514802273,6.54731379061652e-10,4.5764726343548e-08
ABCA5,894.203153994775,-0.806711931444772,6.76722795773044e-10,4.70629944333071e-08
DYNC2H1,1701.90673772951,-0.748554826441027,8.36963894293614e-10,5.79145368061461e-08
AGBL2,244.947074681115,-1.19011405467149,8.84618761049165e-10,6.08634682632958e-08
PRKCSH,2264.27103613648,0.644053618984695,8.88420996435908e-10,6.08634682632958e-08
KIT,251.318461559144,-1.16301017033201,9.17734486358557e-10,6.25604152334521e-08
KRT19,56652.3661141855,0.521913570007401,9.28123652107935e-10,6.29569590617057e-08
SLC9A3R1,3544.29286465294,0.570604961393063,9.94863936086727e-10,6.7153315685854e-08
GDA,3087.88028415664,-0.58782013309081,1.05077421400029e-09,7.05812728135805e-08
MACROD2,93.0219923542728,-1.95969436706297,1.10593192708928e-09,7.39256438641715e-08
GIPC1,3984.70366293151,0.652046293771684,1.12994450702407e-09,7.51658737281226e-08
CHL1,474.128805430123,-0.950405423209695,1.15168770257386e-09,7.62439406944326e-08
CFAP47,342.180144603862,-1.02970878460929,1.17237565759617e-09,7.72421665315753e-08
CFAP44,1194.6481787239,-0.722767829212509,1.24569884535219e-09,8.16822528595219e-08
GOLGA8B,166.408626112631,-1.53427594062649,1.26218697760446e-09,8.23711596284998e-08
IRAK3,1909.95999961663,-0.675794136049512,1.30107991542919e-09,8.4508822808773e-08
GSR,3712.83001689416,0.56494489085106,1.34179460531435e-09,8.67441864562377e-08
LRRIQ1,1526.81076819715,-0.668906515652441,1.38159550000275e-09,8.88998599768127e-08
AP3D1,5790.41395053305,0.534558984181582,1.4254505208596e-09,9.12951333592403e-08
PEBP1,2311.64865013284,0.660712882932629,1.46642381646331e-09,9.34845182995358e-08
DNAAF1,1183.14616561369,-0.734744062109254,1.61647068959826e-09,1.02300850214938e-07
ATP6V0D1,2067.7413124547,0.623216221593506,1.61957773034543e-09,1.02300850214938e-07
CPAMD8,364.981889459278,-0.997584027779323,1.63096490276454e-09,1.02549711009442e-07
ADAM28,2136.66779747303,-0.684642128015681,1.6598292575017e-09,1.0389022216272e-07
HLA-DPA1,1070.43233041414,-0.729508876877473,1.76816890309396e-09,1.09511131994455e-07
TLL1,356.792755609257,-1.01295539144124,1.76892523410073e-09,1.09511131994455e-07
GBAS,2485.06147661558,-0.658560606273225,1.77349182532778e-09,1.09511131994455e-07
BCL2L1,3421.80521465314,0.616515306045583,1.78532604710953e-09,1.09749730663831e-07
ABI3BP,282.824588142319,-1.20552980440041,1.82374126562377e-09,1.11612965456175e-07
CENPK,261.80507497928,-1.23410709561875,1.90422126683267e-09,1.16022685151707e-07
CFL1,9013.30202698779,0.577582511485023,1.92265609658557e-09,1.16629843391997e-07
MT-ND1,43452.7283114289,0.478097379187132,2.14873353336611e-09,1.29772196291453e-07
OPN3,420.318959877004,-0.943512926518838,2.26020187957782e-09,1.35908209090771e-07
SLC25A39,3874.3272490752,0.58438562054175,2.32228741435919e-09,1.39034337807505e-07
DAB2IP,2562.92416501546,0.622360470233578,2.55279711906024e-09,1.52173230863461e-07
SGOL2,684.779889063591,-0.967409733948315,2.6164242835758e-09,1.55293803382926e-07
ATP13A2,812.511211685797,0.734437545841879,2.70773704358721e-09,1.60023772919295e-07
FMO5,764.577836207527,-0.789836554528914,3.17814417238499e-09,1.87021560913424e-07
TTC14,636.353478008806,-0.847608615188024,3.33087217661528e-09,1.951749356255e-07
CEP192,1036.81343966234,-0.73383531772394,3.7311031275519e-09,2.17700381637244e-07
TALDO1,5682.17986094362,0.565875520769212,3.79687359552533e-09,2.2060316206913e-07
LY6E,5533.25673674829,0.608094053590991,3.98148215338736e-09,2.30357181731697e-07
DEPDC1,154.728697990891,-1.55989150286901,4.00240283406163e-09,2.30598690481291e-07
CLTB,600.535111364807,0.892433659967834,4.07101125279059e-09,2.3357427062886e-07
GRWD1,940.018216373403,0.701088357916837,4.11361378803602e-09,2.35039260835087e-07
MIDN,3053.68733144305,0.56171725980738,4.50422635215408e-09,2.56294201938685e-07
C9orf3,1355.67994669328,0.645151937933081,4.56360940915617e-09,2.58604533185516e-07
DRAP1,643.98951968084,0.816784622842413,4.68392377987794e-09,2.64334551020161e-07
